"film_id","count"
3,"12"
10,"23"
15,"22"
16,"14"
27,"13"
29,"10"
31,"31"
34,"13"
42,"16"
47,"8"
51,"23"
53,"7"
62,"6"
66,"10"
68,"15"
70,"17"
76,"9"
92,"11"
105,"16"
110,"15"
111,"16"
112,"21"
113,"12"
114,"27"
117,"23"
120,"9"
125,"6"
133,"13"
136,"8"
147,"20"
149,"21"
151,"13"
161,"7"
167,"26"
169,"17"
172,"25"
174,"29"
186,"16"
187,"11"
189,"16"
190,"14"
205,"14"
209,"13"
210,"11"
218,"21"
220,"29"
223,"8"
232,"15"
241,"14"
243,"19"
244,"27"
248,"7"
250,"11"
251,"18"
255,"21"
259,"6"
262,"6"
267,"22"
268,"7"
270,"23"
272,"15"
276,"10"
278,"7"
279,"10"
282,"19"
283,"11"
284,"29"
286,"18"
307,"26"
321,"13"
326,"20"
328,"13"
330,"27"
331,"32"
334,"23"
353,"23"
361,"29"
364,"8"
375,"10"
378,"29"
383,"18"
388,"24"
392,"16"
397,"26"
398,"17"
401,"8"
405,"6"
411,"7"
413,"12"
422,"10"
432,"18"
436,"19"
438,"15"
442,"15"
444,"22"
450,"30"
451,"19"
455,"14"
456,"18"
457,"19"
458,"16"
459,"5"
461,"18"
462,"20"
471,"26"
474,"18"
476,"24"
483,"17"
484,"20"
488,"17"
491,"24"
492,"9"
499,"9"
507,"6"
509,"11"
511,"13"
517,"7"
520,"7"
521,"27"
522,"10"
528,"10"
539,"10"
541,"7"
550,"9"
560,"19"
561,"17"
568,"13"
570,"16"
587,"11"
588,"15"
594,"9"
606,"16"
613,"10"
616,"19"
620,"14"
625,"27"
627,"11"
629,"14"
632,"9"
634,"15"
646,"23"
647,"20"
655,"15"
663,"19"
675,"6"
677,"21"
683,"26"
684,"7"
687,"26"
696,"16"
698,"27"
704,"16"
709,"18"
714,"9"
717,"17"
720,"20"
722,"11"
741,"24"
746,"18"
751,"8"
752,"8"
767,"32"
771,"23"
773,"26"
774,"14"
796,"15"
799,"6"
807,"21"
818,"19"
820,"15"
821,"12"
824,"9"
827,"20"
842,"13"
843,"23"
845,"20"
846,"21"
849,"29"
852,"24"
864,"19"
866,"8"
885,"6"
899,"11"
926,"8"
927,"16"
933,"12"
934,"9"
936,"18"
937,"16"
941,"29"
946,"14"
949,"22"
970,"26"
973,"31"
979,"30"
981,"21"
984,"9"
986,"18"
992,"14"
997,"6"
998,"9"
1000,"31"
